xPos,location,Shape,yPos,numVertices,corrAns,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,space,0.955291032791,,,,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,down_left,Line,-200,2,g,0,0,0,12,,,,,,,g,1,0.467266082764,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,down_right,Line,-200,2,h,0,1,1,8,,,,,,,h,1,0.481740951538,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,up_left,Circle,200,90,t,0,2,2,7,,,,,,,t,1,0.383903026581,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,up_left,Line,200,2,t,0,3,3,4,,,,,,,t,1,0.317459106445,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,up_left,Square,200,4,t,0,4,4,6,,,,,,,t,1,0.300841808319,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,down_left,Triangle,-200,3,g,0,5,5,13,,,,,,,g,1,0.334319829941,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,up_right,Line,200,2,y,0,6,6,0,,,,,,,y,1,0.282990932465,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,down_left,Circle,-200,90,g,0,7,7,15,,,,,,,g,1,0.317430973053,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,up_right,Square,200,4,y,0,8,8,2,,,,,,,y,1,0.384308099747,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,down_right,Circle,-200,90,h,0,9,9,11,,,,,,,h,1,0.302803993225,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,up_left,Triangle,200,3,t,0,10,10,5,,,,,,,g,0,0.28430891037,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,up_right,Triangle,200,3,y,0,11,11,1,,,,,,,y,1,0.284092187881,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,down_left,Square,-200,4,g,0,12,12,14,,,,,,,g,1,0.284263134003,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,up_right,Circle,200,90,y,0,13,13,3,,,,,,,t,0,0.300482034683,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,down_right,Square,-200,4,h,0,14,14,10,,,,,,,h,1,0.300728082657,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,down_right,Triangle,-200,3,h,0,15,15,9,,,,,,,h,1,0.334218025208,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,down_right,Square,-200,4,h,,,,,0,0,0,10,,,h,1,0.350318908691,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,up_left,Circle,200,90,t,,,,,0,1,1,7,,,t,1,0.434481143951,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,up_left,Triangle,200,3,t,,,,,0,2,2,5,,,t,1,0.333894968033,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,up_right,Square,200,4,y,,,,,0,3,3,2,,,y,1,0.284233093262,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,up_right,Triangle,200,3,y,,,,,0,4,4,1,,,y,1,0.351042985916,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,up_left,Square,200,4,t,,,,,0,5,5,6,,,g,0,0.300904989243,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,up_right,Circle,200,90,y,,,,,0,6,6,3,,,y,1,0.367229938507,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,down_left,Triangle,-200,3,g,,,,,0,7,7,13,,,g,1,0.333450078964,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,up_left,Line,200,2,t,,,,,0,8,8,4,,,t,1,0.250487089157,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,up_right,Line,200,2,y,,,,,0,9,9,0,,,y,1,0.300498962402,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,down_right,Line,-200,2,h,,,,,0,10,10,8,,,h,1,0.367104053497,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
200,down_right,Circle,-200,90,h,,,,,0,11,11,11,,,h,1,0.367187976837,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
-200,down_left,Line,-200,2,g,,,,,0,12,12,12,,,t,0,0.349498987198,LearningTask,,20,59.930100905,3,2014_Dec_03_1535,,
