xPos,location,ShapeStimulus,Shape,yPos,corrAns,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numVertices,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,y,12.6255149841,,,,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
-200,up_left,circlecyan.gif,Circle,200,t,0,0,0,7,,,,,,,,t,1,0.5001308918,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
-200,down_left,hexagongreen.gif,Square,-200,g,0,1,1,14,,,,,,,,g,1,0.683654069901,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
200,down_right,diamondmagenta.gif,Circle,-200,h,0,2,2,11,,,,,,,,h,1,0.585330963135,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
-200,down_left,hexagonyellow.gif,Line,-200,g,0,3,3,12,,,,,,,,g,1,0.634430885315,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
200,down_right,diamondgray.gif,Line,-200,h,0,4,4,8,,,,,,,,h,1,0.549244165421,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
-200,up_left,circlemagenta.gif,Triangle,200,t,0,5,5,5,,,,,,,,t,1,0.51739192009,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
-200,up_left,circlegreen.gif,Line,200,t,0,6,6,4,,,,,,,,t,1,0.501713991165,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
-200,down_left,hexagongray.gif,Circle,-200,g,0,7,7,15,,,,,,,,g,1,0.600880146027,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
200,up_right,crossyellow.gif,Circle,200,y,0,8,8,3,,,,,,,,y,1,0.533675909042,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
200,up_right,crossorange.gif,Square,200,y,0,9,9,2,,,,,,,,y,1,0.483494997025,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
200,down_right,diamondwhite.gif,Square,-200,h,0,10,10,10,,,,,,,,h,1,0.650609970093,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
200,up_right,crossgray.gif,Triangle,200,y,0,11,11,1,,,,,,,,y,1,0.567277908325,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
-200,down_left,hexagonmagenta.gif,Triangle,-200,g,0,12,12,13,,,,,,,,g,1,0.501423120499,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
200,down_right,diamondorange.gif,Triangle,-200,h,0,13,13,9,,,,,,,,h,1,0.551131010056,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
200,up_right,crosscyan.gif,Line,200,y,0,14,14,0,,,,,,,,y,1,0.451179981232,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
-200,up_left,circlewhite.gif,Square,200,t,0,15,15,6,,,,,,,,t,1,0.417856931686,LearningTask,,,61.3143176243,3,2014_Dec_16_0945,,
